Time,Mag_X,Mag_Y,Mag_Z,Raw_Roll,Raw_Pitch,Raw_Yaw
7611,1.12,-72.37,-2,1.55,-1.99,-170.95
7611,8.13,-72.62,-11.38,1.55,-1.99,-176.72
7611,8.13,-72.62,-11.38,1.55,-1.99,-176.72
7611,8.13,-72.62,-11.38,1.33,-1.99,-176.72
7611,8.13,-72.62,-11.38,1.33,-1.99,-176.72
7611,8.13,-72.62,-11.38,1.33,-1.99,-176.72
7611,13.5,-83.31,-24.31,1.33,-1.99,-179.83
7611,13.5,-83.31,-24.31,1.33,-1.99,-179.83
7611,13.5,-83.31,-24.31,1.33,-1.99,-179.83
7611,13.5,-83.31,-24.31,1.33,-1.99,-179.83
7611,13.5,-83.31,-24.31,1.33,-1.99,-179.83
7611,14.88,-99.37,-37.38,1.33,-1.99,-179.32
7611,14.88,-99.37,-37.38,1.33,-1.99,-179.32
7611,14.88,-99.37,-37.38,1.33,-1.77,-179.32
7611,14.88,-99.37,-37.38,1.33,-1.77,-179.32
7611,14.88,-99.37,-37.38,1.33,-1.77,-179.32
7611,22.56,-105.56,-39.94,1.33,-1.77,177.19
7611,22.56,-105.56,-39.94,1.33,-1.77,177.19
7611,22.56,-105.56,-39.94,1.55,-2.22,177.19
7611,22.56,-105.56,-39.94,1.55,-2.22,177.19
7611,22.56,-105.56,-39.94,1.55,-2.22,177.19
7611,23.44,-108.75,-42.19,1.55,-2.22,176.89
7611,23.44,-108.75,-42.19,1.55,-2.22,176.89
7611,23.44,-108.75,-42.19,1.1,-1.99,176.89
7611,23.44,-108.75,-42.19,1.1,-1.99,176.89
7611,23.44,-108.75,-42.19,1.1,-1.99,176.89
7611,27.75,-106.06,-39.31,1.1,-1.99,174.55
7611,27.75,-106.06,-39.31,1.1,-1.99,174.55
7611,27.75,-106.06,-39.31,0.87,-2,174.55
7611,27.75,-106.06,-39.31,0.87,-2,174.55
7611,27.75,-106.06,-39.31,0.87,-2,174.55
7611,24.75,-111.94,-48.38,0.87,-2,176.64
7611,24.75,-111.94,-48.38,0.87,-2,176.64
7611,24.75,-111.94,-48.38,1.1,-2,176.64
7611,24.75,-111.94,-48.38,1.1,-2,176.64
7611,24.75,-111.94,-48.38,1.1,-2,176.64
7611,28.87,-121.06,-46.75,1.1,-2,175.76
7611,28.87,-121.06,-46.75,1.1,-2,175.76
7611,28.87,-121.06,-46.75,1.1,-2.22,175.76
7611,28.87,-121.06,-46.75,1.1,-2.22,175.76
7611,28.87,-121.06,-46.75,1.1,-2.22,175.76
7612,32.5,-122.06,-49,1.1,-2.22,174.16
7612,32.5,-122.06,-49,1.1,-2.22,174.16
7612,32.5,-122.06,-49,1.1,-2.22,174.16
7612,32.5,-122.06,-49,1.1,-2.22,174.16
7612,33.25,-118.75,-47,1.1,-2.22,173.44
7612,33.25,-118.75,-47,1.33,-1.99,173.44
7612,33.25,-118.75,-47,1.33,-1.99,173.44
7612,36.63,-119.5,-43.75,1.33,-1.99,172.17
7612,36.63,-119.5,-43.75,1.33,-1.99,172.17
7612,36.63,-119.5,-43.75,1.33,-1.99,172.17
7612,36.63,-119.5,-43.75,1.33,-2.22,172.17
7612,36.63,-119.5,-43.75,1.33,-2.22,172.17
7612,34.81,-127.12,-45.88,1.33,-2.22,173.83
7612,34.81,-127.12,-45.88,1.33,-2.22,173.83
7612,34.81,-127.12,-45.88,1.33,-2.22,173.83
7612,34.81,-127.12,-45.88,1.33,-2.22,173.83
7612,34.81,-127.12,-45.88,1.33,-1.99,173.83
7612,34.81,-128.62,-42.5,1.33,-1.99,174.14
7612,34.81,-128.62,-42.5,1.33,-1.99,174.14
7612,34.81,-128.62,-42.5,1.33,-1.99,174.14
7612,34.81,-128.62,-42.5,1.33,-1.99,174.14
7612,34.81,-128.62,-42.5,1.33,-2.22,174.14
7612,37.94,-127.5,-42.19,1.33,-2.22,172.65
7612,37.94,-127.5,-42.19,1.33,-2.22,172.65
7612,37.94,-127.5,-42.19,1.33,-2.22,172.65
7612,37.94,-127.5,-42.19,1.33,-2.22,172.65
7612,37.94,-127.5,-42.19,1.33,-1.99,172.65
7612,42.06,-132.25,-41.69,1.33,-1.99,171.67
7612,42.06,-132.25,-41.69,1.33,-1.99,171.67
7612,42.06,-132.25,-41.69,1.33,-1.99,171.67
7612,42.06,-132.25,-41.69,1.33,-1.99,171.67
7612,42.06,-132.25,-41.69,1.1,-2,171.67
7612,42.63,-137.56,-39.06,1.1,-2,172.19
7612,42.63,-137.56,-39.06,1.1,-2,172.19
7612,42.63,-137.56,-39.06,1.1,-2,172.19
7612,42.63,-137.56,-39.06,1.1,-2,172.19
7612,43.06,-138.81,-41.13,1.1,-2,172.14
7612,43.06,-138.81,-41.13,1.33,-1.99,172.14
7612,43.06,-138.81,-41.13,1.33,-1.99,172.14
7612,43.06,-138.81,-41.13,1.33,-1.99,172.14
7612,43.06,-138.81,-41.13,1.33,-1.99,172.14
7612,37.81,-144.75,-38.19,1.33,-1.99,174.79
7612,37.81,-144.75,-38.19,1.33,-1.99,174.79
7612,37.81,-144.75,-38.19,1.1,-1.99,174.79
7612,37.81,-144.75,-38.19,1.1,-1.99,174.79
7612,37.81,-144.75,-38.19,1.1,-1.99,174.79
7613,38.81,-140.37,-33.75,1.1,-1.99,174.04
7613,38.81,-140.37,-33.75,1.1,-1.99,174.04
7613,38.81,-140.37,-33.75,1.33,-1.99,174.04
7613,38.81,-140.37,-33.75,1.33,-1.99,174.04
7613,38.81,-140.37,-33.75,1.33,-1.99,174.04
7613,36.75,-135.12,-32.13,1.33,-1.99,174.27
7613,36.75,-135.12,-32.13,1.33,-1.99,174.27
7613,36.75,-135.12,-32.13,1.55,-1.76,174.27
7613,36.75,-135.12,-32.13,1.55,-1.76,174.27
7613,36.75,-135.12,-32.13,1.55,-1.76,174.27
7613,35.69,-127.94,-34.13,1.55,-1.76,173.87
7613,35.69,-127.94,-34.13,1.55,-1.76,173.87
7613,35.69,-127.94,-34.13,1.55,-1.99,173.87
